"site","org","region","country","state","suborg","site_type","incident_url","case_number","status","severity","potential_severity","recordable","creator","created_at","updated_at","is_primary_incident","sub_event_type","sub_event_type_details","initial_info_hro_type","incident_date","incident_time","date_reported","time_reported","last_update_to_recordability","last_update_to_severity","map_external_service","map_external_service_id","initial_info_risk_assessment_category","initial_info_risk_assessment_group","initial_info_risk_assessment_hazard","initial_info_risk_assessment_likeliness","initial_info_risk_assessment_severity","initial_risk_assessment_criticality","initial_risk_assessment_likeliness","initial_risk_assessment_severity","post_risk_assessment_criticality","post_risk_assessment_likeliness","post_risk_assessment_severity","initial_info_phase_status","initial_info_updated_at","initial_info_contractor_firm_employee","initial_info_application_isolation_work_risk","initial_info_is_confined_space_in_site_confined_space_inventory","initial_info_date_of_installation","initial_info_date_of_last_inspection","initial_info_date_of_last_preventative_maintenance","initial_info_incident_description","initial_info_did_confined_space_require_permit_to_work","initial_info_did_site_complete_ptw_form","initial_info_did_the_task_require_permit_to_work","initial_info_does_hro_have_standard_documentation","initial_info_equipment_identification_numbers","initial_info_equipment_involved","initial_info_frequency_of_maintenance","initial_info_conveyance_secured_from_operation","initial_info_lifting_focal_points","initial_info_incident_location","initial_info_pit_event_make","initial_info_number_of_entry_points","initial_info_number_of_exit_points","initial_info_pit_id","initial_info_pit_process","initial_info_safe_working_load","initial_info_hro_sub_type_of_auto_machine","initial_info_type_of_arc_flash","initial_info_type_of_automation_event","initial_info_type_of_cid_event","initial_info_contractor_type","initial_info_type_of_electric_shock","initial_info_type_of_lifting_equipment","initial_info_type_of_hazards_involved","initial_info_type_of_load","initial_info_type_of_packaging_or_sortation_machine","initial_info_pit_type","initial_info_wah_activity_related_to","initial_info_fire_watch_arranged","initial_info_fire_watch_stationed_in_hot_area","initial_info_hot_work_conducted_in_designated_areas","initial_info_temporary_hot_work_area_used","initial_info_weight_of_load","initial_info_employee_occupation","initial_info_contractor_firm_related","initial_info_agency_name","initial_info_contractor_department","initial_info_work_height_from_ground","initial_info_was_work_specific_cip_in_place","initial_info_shift","initial_info_shift_start_time","initial_info_manager_supervisor_alias","investigation_phase_status","investigation_updated_at","investigation_hours_pit_operated_last_30_days","investigation_product_involved","investigation_asin","investigation_witness_statements_available","investigation_witness_statements_description","investigation_date_of_first_certification","investigation_date_of_last_certification","investigation_documentation_standards_policies","investigation_documentation_equipment","investigation_documentation_associate_or_personal","investigation_documentation_activity_or_processes","investigation_driver_information","investigation_evidence_near_incident_location","investigation_evidence_near_incident_location_description","investigation_hours_driven_in_week","investigation_last_day_off","investigation_make_of_pit_event","investigation_object_substance_involved","investigation_primary_object_type","investigation_secondary_object_type","investigation_photos_available","investigation_recreation_photos_available","investigation_pit_rule_type","investigation_pit_rule_type_secondary","investigation_telematics","investigation_tools_or_equipment_condition","investigation_tools_or_equipment_condition_description","investigation_primary_impact","investigation_secondary_impact","investigation_video_footage_available","investigation_was_pit_rules_violated","rca_phase_status","rca_updated_at","rca_primary_cause","rca_root_cause_variant","rca_root_cause_other","rca_contributing_factor_category","rca_contributing_factor_human_behaviour","rca_contributing_factor_org_process","rca_contributing_factor_org_workplace","rca_contributing_factor_tech_equipment","rca_contributing_factor_tech_material","rca_contributing_factorhuman_leadership","rca_external_analysis_link","rca_comments","badge_color"
"HDC3","AMZL","NA","US","Pennsylvania","AMZL-NA-R2L","SSD DC","https://NA.ehs-amazon.com/incidents/incident/1a5e8cb8-e0a5-4c33-bb74-294041c580f5/summary","HDC3-22-1a5e8cb8","CLOSED","PENDING","C",0,"jjromo","2022-12-01 22:47:24.108","2025-02-06 21:05:40.666",0,"PIT","PIT vs PIT",,"2022-12-01 00:00:00","2022-12-01T21:50:00.304Z","2022-12-01 00:00:00","2022-12-01T21:55:00.638Z","2022-12-01 22:47:24.108","2022-12-01 22:47:24.108","Austin",,"Motorized_Vehicle_Operation","Safety","Operating PIT","POSSIBLE","MINOR","MEDIUM","POSSIBLE","MINOR","MEDIUM","POSSIBLE","MINOR","COMPLETED","2025-02-06 21:44:07.538",,,,,,,"On 12/01/2022 at 5:20 PM, Two AA’s working in Pick and Stow process had PIT on PIT incident. The incident occurred front of the VNA Aisle 138
The Incident was reported by Safety and one of the OM’s at 4:50 PM. Leadership was notified of the incident by and proceeded to incident location. The was no injury reported.

The work area was reported by the associate as being organized at the time of the incident. The AA stated they were using the correct tools for the process. The correct tools for the process were available at the work station. The tools were found to be in safe working condition and functioning properly upon investigation. Area Readiness was not identified as a contributing factor.
During the investigation, the AA stated that at the time of the incident they were wearing the proper PPE for the task. The PPE was reported by the associate to be in good condition.  The PPE was not found to be a contributing factor.
During the investigation, the AA2 stated they were following standard work at the time of the incident. the AA1 stated they were NOT following standard work at the time of the incident, because the AA (B) was traveling in the wrong lane and pass the other AA in a no pass zone, the AA1 saw the AA2 pass them but did not know that it was going to turn and continued to drive forward while the AA2 Turn in to an aisle and while turning the cage end up hitting the side of the AA1 OP. The AA is trained in the path in which they were working at the time of the incident. The AA2 was trained in Picking on 11/24/2022 using module PIT-ORDER PICKER. The AA1 was trained in Stow on 10/28/2022 using module PIT-ORDER PICKER Review of training material was conducted and deficiencies were not identified. Training was found not to be a contributing factor.
The root cause was identified to be: AA1 overtake the AA2 traveling in the same direction and they both collided. As the AA1 made a turn, the back of the cage hit a side of the other OP and cage of the AA2
Following this incident, the site has resolved to take ",,,,,,,,,,"VNA (Very Narrow Aisle)","Raymond",,,"213","Pick",,,,,,,,,,,,"high-level-stock-picker",,,,,,,"Amazon Warehouse Associate","Employee",,,,,,,"898ef7ba-ba59-4b2b-abbc-dc80bb24eaa9","COMPLETED","2025-02-06 21:51:39.955",,"False",,"True","{""id"":""tmp-c2e66a38-be6c-4135-920a-f3ff9061740b"",""type"":""img""}",,,"False","False","False","False","False","False",,,,"Raymond","False",,,"False","False","PIT","Traffic visual signs","False","False",,"Struck by or against","Forklift/misc. machines/equipment","False","True","COMPLETED","2025-02-06 22:00:46.734","Training or knowledge-transfer","Inadequate recall of training material",,"Human - Behaviour","Failure to look in the direction of travel",,,,,,,"N/A",
"HDC3","AMZL","NA","US","Pennsylvania","AMZL-NA-R2L","SSD DC","https://NA.ehs-amazon.com/incidents/incident/4c5bd0ce-9651-4d8d-86ac-f751ef21f839/summary","HDC3-24-43","CLOSED","PENDING","D",0,"marsldru","2024-02-18 19:46:42.720","2025-02-06 21:05:38.207",0,"PIT","PIT vs PIT",,"2024-02-18 00:00:00","2024-02-18T14:30:00.813Z","2024-02-18 00:00:00","2024-02-18T14:33:00.006Z","2024-02-18 19:46:42.720","2024-02-18 19:46:42.720","Austin",,"Competence, Awareness, and Training","Management Standards","None","HIGHLY_UNLIKELY","NEGLIGIBLE","NEGLIGIBLE","HIGHLY_UNLIKELY","NEGLIGIBLE",,,,"COMPLETED","2025-02-06 21:57:10.123",,,,,,,"(On 02/24/2024, PIT vs PIT, Pick) -  The investigation identified that the associate was utilizing the appropriate PPE for the job task and working in Pick process path, reported a Pit Incident that occurred on 02/18/2024 

During the investigation, the site found that the AA was exposed to potential NO injury. AA was found to be following Amazon Safety policy/procedures. Video footage was reviewed of the incident. Due to the AA was trying to get into a corral further down the pick car-wash they hit another OP sticking out of the corral.  The AA was delivering or taking back a full cage. They were in line waiting to drop it off in one of the corrals. As they were trying to drive forward to go to an empty corral. They saw an OP parked in the corral in front of them. The tip of the OP was sticking out and the AA tried to avoid it. By the time they tried to turn the OP, it was too late. They bumped into the OP that was in corral 7 between columns I24-25 (The AA at fault was driving OP 216). There were witnesses to the PIT Incident. After the investigation, the root cause was determined to be AA was not paying attention to their surroundings.   As a result of the incident, AA was taken off the OP and getting re-trained, These actions will be tracked to completion via AUSTIN. AA was hired 08/11/2023. Quest diagnostics was called, and the AA consented to the test. The AA received testing and we are now awaiting results. 
Training: Was the AA trained in the process path or task on 08/12/2023 and has been performing the task for more than 30 days.  
",,,,,,,,,,"Staging Area","Raymond",,,"216","Cage drop / Cage staging",,,,,,,,,,,,"Low Level Order Picker [LLOP]",,,,,,,,"No One",,,,,,,,"READY","2025-02-06 21:52:19.660",,,,,,,,,,,,,,,,,"Raymond",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HDC3","AMZL","NA","US","Pennsylvania","AMZL-NA-R2L","SSD DC","https://NA.ehs-amazon.com/incidents/incident/dadb5499-ff15-43b2-9104-165001d6195a/summary","HDC3-22-dadb5499","CLOSED","PENDING","D",0,"marsldru","2022-11-30 15:48:20.908","2025-02-06 21:05:33.745",0,"PIT","PIT vs Structure",,"2022-11-30 00:00:00","2022-11-30T15:10:00.000Z","2022-11-30 00:00:00","2022-11-30T15:15:00.242Z","2022-11-30 15:48:20.908","2022-11-30 15:48:20.908","Austin",,"Competence, Awareness, and Training","Management Standards","None","HIGHLY_UNLIKELY","NEGLIGIBLE","NEGLIGIBLE","HIGHLY_UNLIKELY","NEGLIGIBLE","NEGLIGIBLE","HIGHLY_UNLIKELY","NEGLIGIBLE","COMPLETED","2025-02-06 21:55:51.801",,,,,,,"On, November 30th 2022, at approximately 10:05AM AA was operating OP 204 and was returning to the VNAs to start picking again. AA was driving their OP around the corner closest to the palletized corrals when the OP 204 struck a barrier. The AA was not injured and did not require first aid. Operations and Safety were notified of the incident at 10:15am. The barrier sustained damage and the OP was inoperable at the time of the incident. Upon further investigation AA was seen not stopping at the stop sign in the cross way near the palletized area. AA reported that they were lightheaded and haven’t slept in 3 days. ",,,,,,,,,,"Staging Area","Raymond",,,"204","Pick",,,,,,,,,,,,"turrent-order-picker-vna",,,,,,,,"No One",,,,,,,,"COMPLETED","2025-02-06 22:00:49.780",,"False",,"True","{""id"":""c49a4c3a-508b-49a4-89f9-efb8151ba481""}",,,"False","False","False","False","False","False",,,,"Raymond","False",,,"False","False","PIT","Traffic visual signs","False","False",,"Motor vehicle","Collision with a fixed object (moving forward)","True","True","COMPLETED","2025-02-06 21:55:52.145","Equipment damage","Inadequate or lack of inspection and/or monitoring",,"Human - Behaviour","Failure to observe traffic rules or signage",,,,,,,"N/A",
"HGA6","AMZL","NA","US","Georgia","AMZL-NA-R2L","SSD DC","https://NA.ehs-amazon.com/incidents/incident/247cd5a0-4105-4b90-a160-9ab1471db707/summary","HGA6-26-65","CLOSED","PENDING","C",0,"thorati","2026-02-20 18:16:57.213","2026-02-23 22:34:42.697",1,"PIT","PIT vs PIT",,"2026-02-20 00:00:00","2026-02-20T17:40:00Z","2026-02-20 00:00:00","2026-02-20T17:41:00Z","2026-02-20 18:16:57.213","2026-02-20 18:16:57.213","Austin",,"Materials/Objects & Equipment/Mechanical","Safety","Moving equipment","POSSIBLE","MINOR","MEDIUM","POSSIBLE","MINOR",,,,"COMPLETED","2026-02-23 22:34:41.141",,,,,,,"For AM to complete",,,,,,,,,,"Car wash","Raymond ",,,"OP","Pick",,,,,,,,,,,,"Vertical Order Picker [VOP]",,,,,,,,"No One",,,,,,,,"READY","2026-02-23 22:34:42.568",,,,,,,,,,,,,,,,,"Raymond ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HGA6","AMZL","NA","US","Georgia","AMZL-NA-R2L","SSD DC","https://NA.ehs-amazon.com/incidents/incident/27ec1966-b5b9-46a7-a893-a1bf1e5570e0/summary","HGA6-24-108","CLOSED","PENDING","D",0,"mintojos","2024-04-11 03:47:48.969","2025-02-06 20:49:28.701",0,"PIT","PIT vs Structure",,"2024-04-10 00:00:00","2024-05-02T04:00:00.070Z","2024-04-10 00:00:00","2024-05-02T04:32:00.077Z","2024-04-11 03:47:48.969","2024-04-11 03:47:48.969","Austin",,"Motorized_Vehicle_Operation","Safety","Interaction (PIT/Object)","HIGHLY_UNLIKELY","NEGLIGIBLE","NEGLIGIBLE","HIGHLY_UNLIKELY","NEGLIGIBLE","NEGLIGIBLE","HIGHLY_UNLIKELY","NEGLIGIBLE","COMPLETED","2025-02-06 21:45:25.423",,,,,,,"SSD-DC: HGA6-PIT Near Miss – Description- On 04/10/2024 at 12:00 am, AA hired on 02/13/2024 with a tenure of 1 week and 3 days and trained on 9/23/2023 in module [PIT_NETWK-STANDARD Order-Picker-Practical_ALL] had a Pit near miss while they were operating their Order Picker. AA was operating an Order Picker known as OP #85, which was properly calibrated with blue lights measuring 20 feet. The incident occurred while AA was existing the PIT Parking while was AA attempted to turn left they struck an A-safe with the rear side of their OP Cage. The AA had the proper PPE in like-new condition. AA was not injured as a result of this incident, and the OP sustained no damage.  The magnitude of the impact could not be located in the Iwarehouse at the time of this report. The root cause is identified as a failure to look in the direction of travel. Corrective action 1. Communication on stand down with regards to Pit traffic safety. SGT: The site completed 201 of the SGTs in the present week, and the AA that had the incident participated in none. Job Rotation: AA had started working around 6pm that morning and had not moved to a different function. ",,,,,,,,,,"PIT Parking","Raymond",,,"OP 85","Pallet receive",,,,,,,,,,,,"Low Level Order Picker [LLOP]",,,,,,,,"No One",,,,,,,,"READY","2025-02-06 21:45:25.369",,,,,,,,,,,,,,,,,"Raymond",,,,,,,,,,,,,,,"COMPLETED","2025-02-06 21:49:03.853","Inadequate or missing standards or procedures","Missing standards or procedures",,"Human - Behaviour","Failure to look in the direction of travel",,,,,,"N/A","N/A",
"HGA6","AMZL","NA","US","Georgia","AMZL-NA-R2L","SSD DC","https://NA.ehs-amazon.com/incidents/incident/b4dddac0-8015-4fb5-8562-a5deffb3aeb7/summary","HGA6-24-270","CLOSED","PENDING","C",0,"kasonjes","2024-09-10 15:40:51.802","2025-02-06 20:49:05.630",1,"PIT","PIT vs Inventory",,"2024-09-10 00:00:00","2024-09-10T12:15:00Z","2024-09-10 00:00:00","2024-09-10T12:40:00Z","2024-09-10 15:40:51.802","2024-09-10 15:40:51.802","Austin",,"Gravity_Access","Safety","Confined space","POSSIBLE","MINOR","MEDIUM","POSSIBLE","MINOR",,,,"COMPLETED","2025-02-06 21:26:50.313",,,,,,,"Incident Description_ SSD-DC – HGA6(Strain By, Lower Back) – On 09/10/2024 at approximately 08:00am an AA with a tenure of 11-months was involved in a single PIT incident in the pallet racking aisles. The associate stated that entered the aisle to search for a destination to drop the pallet. They attempted to elevate the forks to place it in the bin, and that’s when they collided with another pallet, resulting in the inventory on the pallets to fall inside the turret seats and on the floor.
Training – This AA was trained in this process path on 3/12/2024, 6months prior to this incident happening.
Root Cause_ - After further investigation it was found that the pallets were tripled stacked and slightly hanging off the pallet racking, which caused the pallet to strike against and push the product off. It was also found that multiple locations in the racking have multiple pallets stored in them, and there is an overflow of damaged items left in bins and on the floor. The workplace failed to identify workplace hazards and place in controls to prevent them from causing an incident.
Corrective Action_ - 1. Suggest that hours be adding in the 7DP dedicating to solely revamping the pallet aisles in to a safe. operating area. (Owner: kasonjes ECD: 9/17/2024) 2. Commence stand down with turret operators to ensure that they are accessing hazards in their work area and reporting the concerns directly to leadership. (Owner: Kasonjes ECD: 09/17/2024)
SGT – The Site completed 280 SGTs in the past 30 days, this associated participated in 0.",,,,,,,,,,"Pallet Racking","Raymond",,,"TT9","Pallet transfer",,,,,,,,,,,,"Turret Truck [VNATR]",,,,,,,,"No One",,,,,,,,"READY","2025-02-06 21:49:25.635",,,,,,,,,,,,,,,,,"Raymond",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HIL3","AMZL","NA","US","Illinois","AMZL-NA-R2L","SSD DC","https://NA.ehs-amazon.com/incidents/incident/509fd195-37c8-4e4f-ad34-29f908154665/summary","HIL3-24-15","CLOSED","PENDING","C",0,"okovacea","2024-01-31 19:44:09.075","2025-02-06 20:50:29.592",0,"PIT","PIT vs Inventory",,"2024-01-31 00:00:00","2024-01-31T18:15:00.000Z","2024-01-31 00:00:00","2024-01-31T18:15:00.000Z","2024-01-31 19:44:09.075","2024-01-31 19:44:09.075","Austin",,"Gravity_Access","Safety","Falling/moving object or structure","UNLIKELY","MINOR","LOW","UNLIKELY","MINOR","LOW","UNLIKELY","MINOR","COMPLETED","2025-02-06 21:49:29.882",,,,,,,"On 1/31/2024 at approximately 12:15 pm, the AA was working on the Inbound dock unloading a truck when AA lifted the top pallet and when backing up clipped the top of the bottom pallet. AA stated that this was AA's first attempt at unloading one pallet at a time from inside the truck. AA wanted to see if this would be faster than unloading two at a time. The top pallet started falling down and AA attempted to catch falling pallet and entered the pallet again to stabilize load. The forks of the pallet pierced the center of the pallet and AA pushed top pallet back on lower pallet. At that time,  the AA sought help and exited PIT and found safety supervisors who found AM. AA was removed from PIT and AM escorted AA to AMCARE for further investigation. AA was not injured in incident. After filling out paperwork, AA decided to go home. 
The AA with start date of 9/16/2023 was initially trained in this task on 11/21/23 and was performing this task for  4 hours. Prior to the day of incident, the last time the AA performed this task was on 12/31/23. The AA WAS working overtime at the time of incident. This task DOES have an associated PMV/Standard. The associate WAS NOT performing this task per the PMV/Standard at the time of incident.",,,,,,,,,,"Ambient","Crown",,,"RC","Unloading trailer",,,,,,,,,,,,"counterbalanced-rider-forklift",,,,,,,,"No One",,,,,,,,"COMPLETED","2025-02-06 21:50:07.309",,"False",,"True","{""id"":""c79f5a18-7750-4f5e-9875-24a892586dd6"",""linkingId"":""34a316b2-bf39-4bee-9541-ab686875976c"",""metadata"":{""fileName"":""Airiss Duke Witness.pdf"",""fileSizeBytes"":364032,""lastModifiedDate"":""2024-01-31T21:32:59.251Z"",""type"":""application/pdf"",""uploadDate"":""2024-01-31T21:32:59.251Z""}}",,,"False","False","False","False","False","False",,,,"Crown","False",,,"False","False",,,"False","False",,"Motor vehicle","Collision with a fixed object (moving forward)","True","False","COMPLETED","2025-02-06 21:52:50.725","Training or knowledge-transfer","Inadequate knowledge transfer",,"Human - Behaviour","Deviation from defined process / Drift (Procedure, SOP, PMV/PtW)",,,,,,,"N/A",
"HIL3","AMZL","NA","US","Illinois","AMZL-NA-R2L","SSD DC","https://NA.ehs-amazon.com/incidents/incident/8bcba94c-4fbb-43d9-b46d-b357f4ff5ab7/summary","HIL3-22-8bcba94c","CLOSED","PENDING","PENDING",0,"okovacea","2022-03-27 03:58:45.763","2025-02-06 20:50:02.631",0,"Conveyance","Conveyor","Routine","2022-03-26 00:00:00","2022-03-27T03:30:50.167Z","2022-03-26 00:00:00","2022-03-27T03:30:50.179Z","2022-03-27 03:58:45.763","2022-03-27 03:58:45.763","Austin",,"Electrical","Safety","Broken plugs, sockets, switches","POSSIBLE","SIGNIFICANT","SUBSTANTIAL","POSSIBLE","SIGNIFICANT",,,,"COMPLETED","2025-02-06 21:53:17.987",,,,,"2022-03-22 00:00:00",,"Fluid load was being processed and conveyor elongated when wires were pulled out of socket",,,"False","True",,,,"True",,"Other",,,,,,,,,,,,,,,,,,,,,,,,,"No One",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HMD3","AMZL","NA","US","Maryland","AMZL-NA-R2L","SSD DC","https://NA.ehs-amazon.com/incidents/incident/4e9d51ba-ef9f-47c3-9fa0-7aa711f73f00/summary","HMD3-25-86","CLOSED","PENDING","C",0,"akhumes","2025-04-11 15:59:56.936","2025-06-19 21:39:03.719",1,"PIT","PIT vs Pedestrian",,"2025-04-11 00:00:00","2025-04-11T14:36:00Z","2025-04-11 00:00:00","2025-04-11T14:45:00Z","2025-04-11 15:59:56.936","2025-04-11 15:59:56.936","Austin",,"Equipment_Mechanical","Safety","Struck by","POSSIBLE","MINOR","MEDIUM","POSSIBLE","MINOR","MEDIUM","POSSIBLE","MINOR","COMPLETED","2025-05-02 14:33:42.559","KBS",,,,,,"On 4/11/2025 at approx 10:35, The KBS AA was driving a center rider into the corrugate staging area, also a no PIT area. The The AA snowplowed two shuttles of corrugate into a nearby learning cage outside of 5s with no brake on. This cage impacted the ankle of an Amazon associate walking by with an empty cage. The two cages pinned the associates ankle.",,,,,,,,,,"Staging Area","Crown Center Rider",,,"Unknown","Pallet drop /Pallet staging",,,,,,"Independent",,,,,,"Center Rider Pallet Truck [CRPT]",,,,,,,,"Contractor","KBS","Amazon Operations",,,,,,"COMPLETED","2025-04-11 21:07:41.962",,"False",,"True","(HMD3-25-86) Witness statement from aa who witnessed incident.",,,"False","False","True","False","False","False",,,,"Crown Center Rider","True","Cage,PIT","Center rider,Order Picker (OP) Cage","False","True","PIT","‘Snowplowing’","False","False",,"Caught in or between","Object(s)","False","True","COMPLETED","2025-06-19 21:38:35.405","Inadequate or improper tools or equipment","Inadequate standards or specifications",,"Organizational - Workplace",,,"Inadequate or insufficient  guards or barriers",,,,,"N/A",
"HMD3","AMZL","NA","US","Maryland","AMZL-NA-R2L","SSD DC","https://NA.ehs-amazon.com/incidents/incident/c2f19120-9b02-4bef-b199-9ed900521a0f/summary","HMD3-25-61","CLOSED","PENDING","D",0,"jamcculp","2025-03-10 18:50:55.191","2025-03-28 18:00:45.736",1,"Conveyance","Conveyor","Routine","2025-03-10 00:00:00","2025-03-10T13:00:00Z","2025-03-10 00:00:00","2025-03-10T13:05:00Z","2025-03-10 18:50:55.191","2025-03-10 18:50:55.191","Austin",,"Spill / Release","Environment","Water release","UNLIKELY","NEGLIGIBLE","NEGLIGIBLE","UNLIKELY","NEGLIGIBLE","NEGLIGIBLE","UNLIKELY","NEGLIGIBLE","COMPLETED","2025-03-10 19:07:18.229",,,,,"2025-03-10 00:00:00",,"On 3/10/25 at approximately 9am a sprinkler head in the PTE line was impacted by a box stood upright in the line. This broke the frangible glass on the sprinkler head, activating the sprinker. Water was flowing from the sprinkler for approximately 8 minutes and the site evacuated during this time. Post evacuation, the PTE line was locked out until it undergoes maintenance and repairs. ",,,"False","True",,,,"True",,"Pick To Exhaust",,,,,,,,,,,,,,,,,,,,,,,,,"No One",,,,,,,,"COMPLETED","2025-03-12 14:44:31.202",,"True","{""id"":""51343aeb-3180-4036-9831-0cb2e2879684"",""productId"":""unknown"",""productName"":""Unknown""}","False",,,,"False","False","False","False",,"False",,,,,"True","Conveyor,Box/package","Heavy/bulky box,Machine Name Not Listed","True","False",,,"False","False",,"Struck by or against","Collision with fixed object","False",,"COMPLETED","2025-03-13 15:11:45.127","Inadequate engineering or design","Inadequate risk assessment or identification of hazard/potential failure",,"Human - Behaviour","Deviation from defined process / Drift (Procedure, SOP, PMV/PtW)",,,,,,,"Inadequate identification of failure modes to include AA ability to stand boxes up past height limiter, allowing for boxes to impact sprinkler heads",
